Date,close
2005/1/4,960.7908
2005/1/5,955.9027
2005/1/6,963.3346
2005/1/7,966.8446
2005/1/10,963.8109
2005/1/11,968.6159
2005/1/12,973.5924
2005/1/13,972.5684
2005/1/14,971.7379
2005/1/17,971.4223
2005/1/18,972.2853
2005/1/19,974.5607
2005/1/20,972.9558
2005/1/21,976.6207
2005/1/24,982.8943
2005/1/25,977.0959
2005/1/26,972.8402
2005/1/27,976.4125
2005/1/28,973.6026
2005/1/31,969.3167
2005/2/1,972.5503
2005/2/2,970.4414
2005/2/3,967.9827
2005/2/4,971.3676
2005/2/16,984.0286
2005/2/17,984.1084
2005/2/18,992.0479
2005/2/21,997.2945
2005/2/22,1009.2401
2005/2/23,1009.1512
2005/2/24,1021.0068
2005/2/25,1011.5521
2005/2/28,1036.3447
2005/3/1,1033.0788
2005/3/2,1041.6656
2005/3/3,1038.8877
2005/3/4,1033.5383
2005/3/7,1040.8474
2005/3/8,1036.6335
2005/3/9,1046.7134
2005/3/10,1049.8976
2005/3/11,1049.5763
2005/3/14,1061.6107
2005/3/15,1075.0488
2005/3/16,1099.3909
2005/3/17,1096.8296
2005/3/18,1073.5088
2005/3/21,1067.8559
2005/3/22,1058.4809
2005/3/23,1047.1897
2005/3/24,1054.8445
2005/3/25,1062.2822
2005/3/28,1059.1126
2005/3/29,1064.4957
2005/3/30,1061.1013
2005/3/31,1074.8704
2005/4/1,1066.4825
2005/4/4,1060.3506
2005/4/5,1058.9603
2005/4/6,1065.6212
2005/4/7,1074.1811
2005/4/8,1061.8339
2005/4/11,1059.4773
2005/4/12,1064.2836
2005/4/13,1051.5981
2005/4/14,1042.7027
2005/4/15,1043.5845
2005/4/18,1043.064
2005/4/19,1055.2476
2005/4/20,1072.7683
2005/4/21,1052.2996
2005/4/22,1060.8383
2005/4/25,1059.9623
2005/4/26,1058.6986
2005/4/27,1054.3205
2005/4/28,1057.1141
2005/4/29,1055.436
2005/5/9,1061.5078
2005/5/10,1062.2495
2005/5/11,1058.1852
2005/5/12,1054.7821
2005/5/13,1039.2212
2005/5/16,1043.3155
2005/5/17,1038.7683
2005/5/18,1045.8009
2005/5/19,1044.193
2005/5/20,1044.6946
2005/5/23,1052.7497
2005/5/24,1050.6483
2005/5/25,1051.8388
2005/5/26,1064.018
2005/5/27,1070.8816
2005/5/30,1070.2428
2005/5/31,1069.5575
2005/6/1,1063.6001
2005/6/2,1071.9266
2005/6/3,1073.6704
2005/6/6,1102.9322
2005/6/7,1095.987
2005/6/8,1089.5789
2005/6/9,1089.5089
2005/6/10,1097.589
2005/6/13,1098.7831
2005/6/14,1093.097
2005/6/15,1098.0633
2005/6/16,1100.6613
2005/6/17,1105.5852
2005/6/20,1124.2877
2005/6/21,1116.3434
2005/6/22,1122.0144
2005/6/23,1108.9189
2005/6/24,1117.7353
2005/6/27,1115.0136
2005/6/28,1097.2675
2005/6/29,1091.2774
2005/6/30,1087.6409
2005/7/1,1093.736
2005/7/4,1096.8694
2005/7/5,1097.6631
2005/7/6,1104.3386
2005/7/7,1109.8522
2005/7/8,1110.9447
2005/7/11,1112.0394
2005/7/12,1119.2275
2005/7/13,1106.9429
2005/7/14,1112.9165
2005/7/15,1112.4778
2005/7/18,1109.939
2005/7/19,1108.6848
2005/7/20,1097.0895
2005/7/21,1101.0831
2005/7/22,1094.4829
